"reference_id","country","product_code","product_name","subscription_start_date","subscription_deactivation_date","order_date_kyiv","return_date_kyiv","last_rebill_date_kyiv","subscription_duration_months","total_amount","discount_amount","number_of_rebills","original_amount","returned_amount","total_rebill_amount","has_chargeback","has_refund","sales_agent_name","source","campaign_name"
"GYB220108-5542-65141","CA","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-08","2022-01-29","2022-01-08 17:50:00","2022-01-29 11:51:00",NULL,12,"302.37","129.59",0,"431.96","281.07","0","true","false","Rodger","Call","AQ_1"
"GYB220108-6911-25129","GB","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-08 19:02:00",NULL,NULL,0,"149.41","0.00",0,"149.41","0","0","false","false","Clary","Chat","AQ_9"
"GYB220108-6911-44171","US","aq-gyb-support-single-monthly"," Support Single Device Monthly Subscription","2022-01-08","2022-02-08","2022-01-08 19:42:00",NULL,NULL,1,"49.50","49.50",0,"99.00","0","0","false","false","Jackie","Call","AQ_25"
"GYB220108-4354-86171","CA","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-08",NULL,"2022-01-09 00:39:00",NULL,"2023-10-08 12:12:00",1,"345.57","86.39",10,"431.96","0","192.95","false","false","Rodger","Call","AQ_1"
"GYB220108-6911-16230","US","aq-gyb-support-single-monthly"," Support Single Device Monthly Subscription","2022-01-08","2022-04-08","2022-01-09 02:47:00",NULL,"2022-03-08 11:14:00",1,"99.00","0.00",2,"99.00","0","39.9","false","false","Rodger","Call","AQ_9"
"GYB220109-4354-47123","US","aq-gyb-support-3-month-plan-lo"," Support 3-month Plan","2022-01-09",NULL,"2022-01-09 03:13:00",NULL,"2023-10-09 12:18:00",1,"199.00","0.00",19,"199.00","0","379.05","false","false","Nick","Call","AQ_25"
"GYB220109-1511-50132","US","aq-gyb-support-3-month-plan-lo"," Support 3-month Plan","2022-01-09","2022-04-09","2022-01-09 04:56:00",NULL,NULL,3,"199.00","0.00",0,"199.00","0","0","false","false","Jayce","Call","AQ_9"
"GYB220109-4354-44148","US","aq-gyb-support-3-month-plan-lo"," Support 3-month Plan","2022-01-09","2022-05-16","2022-01-09 13:11:00",NULL,"2022-04-09 15:04:00",1,"159.20","39.80",1,"199.00","0","19.95","false","false","Megan","Chat","AQ_9"
"GYB220109-6604-74116","US","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-09",NULL,"2022-01-10 01:45:00",NULL,NULL,36,"478.80","205.20",0,"684.00","0","0","false","false","Rodger","Call","AQ_25"
"GYB220110-6911-44113","US","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-10",NULL,"2022-01-10 06:42:00",NULL,NULL,36,"478.80","205.20",0,"684.00","0","0","false","false","Rodger","Call","AQ_9"
"GYB220110-4354-47133","US","aq-gyb-support-24-month-plan-hi"," Support 24-month Plan","2022-01-10","2024-01-10","2022-01-10 19:31:00",NULL,NULL,24,"576.00","0.00",0,"576.00","0","0","false","false","Esmee","Call","AQ_25"
"GYB220110-4354-90170","CA","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-10",NULL,"2022-01-10 21:08:00",NULL,NULL,36,"684.10","0.00",0,"684.10","0","0","false","false","Esmee","Call","AQ_1"
"GYB220110-6604-28126","US","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-10","2023-01-10","2022-01-11 01:29:00",NULL,NULL,12,"432.00","0.00",0,"432.00","0","0","false","false","Vicky","Call","AQ_25"
"GYB220110-8954-29129","US","aq-gyb-support-3-month-plan-lo"," Support 3-month Plan","2022-01-10","2022-04-10","2022-01-11 01:34:00",NULL,NULL,3,"199.00","0.00",0,"199.00","0","0","false","false","Rinna","Chat","AQ_9"
"GYB220111-1511-84107","US","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-11","2023-01-09","2022-01-11 03:22:00","2022-02-12 17:17:00",NULL,12,"432.00","0.00",0,"432.00","382.00","0","false","true","Jayce","Call","AQ_9"
"GYB220111-4354-59122","AU","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-11","2023-01-11","2022-01-11 12:28:00",NULL,NULL,12,"431.60","0.00",0,"431.60","0","0","false","false","Olivia","Chat","AQ_9"
"GYB220111-5542-38113","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-11 20:11:00",NULL,NULL,0,"111.75","37.25",0,"149.00","0","0","false","false","Jacob","Call","AQ_25"
"GYB220111-1511-18147","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-11 21:24:00",NULL,NULL,0,"149.00","0.00",0,"149.00","0","0","false","false","Biby","Chat","AQ_9"
"GYB220111-6911-88135","US","aq-gyb-support-single-monthly"," Support Single Device Monthly Subscription","2022-01-11","2022-02-11","2022-01-12 02:25:00",NULL,NULL,1,"49.50","49.50",0,"99.00","0","0","false","false","Esmee","Call","AQ_9"
"GYB220112-8954-29108","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-12 04:39:00",NULL,NULL,0,"119.20","29.80",0,"149.00","0","0","false","false","Vicky","Call","AQ_25"
"GYB220112-6604-58114","AU","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-12","2023-01-12","2022-01-12 07:49:00",NULL,NULL,12,"367.27","64.81",0,"432.08","0","0","false","false","Vicky","Call","AQ_7"
"GYB220113-1511-88122","US","aq-gyb-support-24-month-plan-hi"," Support 24-month Plan","2022-01-13",NULL,"2022-01-13 18:07:00",NULL,NULL,24,"576.00","0.00",0,"576.00","0","0","false","false","Rodger","Call","AQ_9"
"GYB220113-1511-25165","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-13 19:44:00",NULL,NULL,0,"111.75","37.25",0,"149.00","0","0","false","false","Jacob","Call","AQ_9"
"GYB220113-6911-97136","US","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-13","2025-09-13","2022-01-13 19:53:00",NULL,NULL,36,"478.80","205.20",0,"684.00","0","0","false","false","Rodger","Chat","AQ.Upgrade"
"GYB220113-8954-28128","AU","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-13","2023-01-20","2022-01-14 02:21:00",NULL,NULL,1,"323.99","108.00",0,"431.99","0","0","false","false","Isaac","Call","AQ_7"
"GYB220113-5542-30106","US","aq-gyb-support-single-monthly"," Support Single Device Monthly Subscription","2022-01-13","2022-09-13","2022-01-14 02:26:00",NULL,"2022-08-13 14:07:00",1,"79.20","19.80",7,"99.00","0","139.65","false","false","Nick","Call","AQ_9"
"GYB220114-8954-36122","US","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-14","2025-01-14","2022-01-14 19:15:00",NULL,NULL,36,"478.80","205.20",0,"684.00","0","0","false","false","Rodger","Call","BF.Upgrade"
"GYB220114-5542-89110","US","aq-gyb-support-single-monthly"," Support Single Device Monthly Subscription","2022-01-14",NULL,"2022-01-14 19:53:00",NULL,"2023-10-14 13:08:00",1,"99.00","0.00",21,"99.00","0","418.95","false","false","Rodger","Call","AQ_9"
"GYB220114-8954-75165","US","aq-gyb-support-single-monthly"," Support Single Device Monthly Subscription","2022-01-14","2022-05-21","2022-01-14 21:01:00",NULL,"2022-04-14 15:16:00",1,"99.00","0.00",3,"99.00","0","59.85","false","false","Nick","Call","AQ_9"
"GYB220114-6911-61143","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-14 23:37:00",NULL,NULL,0,"74.50","74.50",0,"149.00","0","0","false","false","Rodger","Call","AQ_9"
"GYB220114-4354-98127","US","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-14",NULL,"2022-01-15 02:39:00",NULL,NULL,36,"684.00","0.00",0,"684.00","0","0","false","false","Jackie","Call","AQ_9"
"GYB220115-5542-13134","US","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-15",NULL,"2022-01-15 19:18:00",NULL,NULL,36,"684.00","0.00",0,"684.00","0","0","false","false","n/a","n/a","n/a"
"GYB220115-4354-14130","CA","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-15 20:32:00",NULL,NULL,0,"112.15","37.38",0,"149.53","0","0","false","false","Jackie","Call","AQ_9"
"GYB220115-1511-83127","US","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-15","2022-06-15","2022-01-15 22:00:00","2022-06-15 13:52:00",NULL,36,"684.00","0.00",0,"684.00","535.00","0","false","true","Jackie","Call","AQ_9"
"GYB220115-6604-51110","CA","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-15 23:46:00",NULL,NULL,0,"97.20","52.34",0,"149.54","0","0","false","false","Jackie","Call","AQ_1"
"GYB220116-4354-54118","US","gyb-support-24-month-plan-hi"," Support 24-month Plan","2022-01-16","2024-01-16","2022-01-16 07:00:00",NULL,NULL,24,"403.20","172.80",0,"576.00","0","0","false","false","Rodger","Call","BF.Upgrade"
"GYB220116-8954-85139","US","aq-gyb-support-single-monthly"," Support Single Device Monthly Subscription","2022-01-16","2023-03-16","2022-01-17 02:28:00",NULL,"2023-02-16 13:46:00",1,"99.00","0.00",13,"99.00","0","259.35","false","false","Rinna","Chat","AQ_9"
"GYB220117-4354-30158","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-17 18:36:00",NULL,NULL,0,"149.00","0.00",0,"149.00","0","0","false","false","Biby","Chat","AQ_9"
"GYB220117-4354-16192","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-17 23:10:00",NULL,NULL,0,"149.00","0.00",0,"149.00","0","0","false","false","Esmee","Call","AQ_25"
"GYB220117-2241-26129","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-18 00:06:00",NULL,NULL,0,"149.00","0.00",0,"149.00","0","0","false","false","Vicky","Call","AQ_9"
"GYB220117-5542-74117","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-18 01:33:00",NULL,NULL,0,"104.30","44.70",0,"149.00","0","0","false","false","n/a","n/a","n/a"
"GYB220117-1511-42127","AU","aq-gyb-support-single-monthly"," Support Single Device Monthly Subscription","2022-01-17","2022-02-17","2022-01-18 02:07:00",NULL,NULL,1,"49.70","49.70",0,"99.40","0","0","false","false","Esmee","Call","AQ_7"
"GYB220118-5922-10128","AU","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-18","2023-01-18","2022-01-18 04:54:00",NULL,NULL,12,"432.46","0.00",0,"432.46","0","0","false","false","Megan","Chat","AQ_9"
"GYB220118-5542-13132","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-18 17:19:00",NULL,NULL,0,"96.85","52.15",0,"149.00","0","0","false","false","Olivia","Chat","AQ_9"
"GYB220118-2241-69161","US","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-18","2023-01-18","2022-01-18 21:56:00",NULL,NULL,12,"432.00","0.00",0,"432.00","0","0","false","false","Olivia","Chat","AQ_9"
"GYB220119-1511-12112","NZ","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-19","2023-01-19","2022-01-19 03:27:00",NULL,NULL,12,"432.12","0.00",0,"432.12","0","0","false","false","Biby","Chat","AQ_9"
"GYB220119-1100-86144","UA","aq-gyb-support-12-month-plan"," Support 12-month plan","2022-01-19","2023-01-19","2022-01-19 12:36:00",NULL,NULL,12,"336.00","0.00",0,"336.00","0","0","false","false","n/a","n/a","n/a"
"GYB220119-5542-36129","US","aq-gyb-support-single-monthly"," Support Single Device Monthly Subscription","2022-01-19","2022-07-21","2022-01-19 12:55:00",NULL,"2022-06-21 15:03:00",1,"99.00","0.00",5,"99.00","0","99.75","false","false","Clary","Chat","AQ_9"
"GYB220119-5542-34147","US","aq-gyb-support-single-monthly"," Support Single Device Monthly Subscription","2022-01-19","2022-01-19","2022-01-19 20:44:00","2022-01-19 14:01:00",NULL,1,"99.00","0.00",0,"99.00","99.00","0","false","true","Jackie","Call","AQ.Upgrade"
"GYB220120-5593-26130","US","aq-gyb-support-24-month-plan-hi"," Support 24-month Plan","2022-01-20","2024-01-20","2022-01-20 04:00:00",NULL,NULL,24,"460.80","115.20",0,"576.00","0","0","false","false","Jacob","Call","AQ_9"
"GYB220120-5593-50153","US","aq-gyb-support-multiple-monthly"," Support Multiple Device Monthly Subscription","2022-01-20","2022-01-20","2022-01-20 21:33:00",NULL,NULL,1,"99.00","0.00",0,"99.00","0","0","false","false","Clary","Chat","AQ_9"
"GYB220120-6604-72109","CA","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-20","2022-12-23","2022-01-21 01:25:00",NULL,NULL,12,"431.70","0.00",0,"431.70","0","0","false","false","Esmee","Call","AQ_1"
"GYB220120-2241-43133","US","aq-gyb-support-multiple-monthly"," Support Multiple Device Monthly Subscription","2022-01-20","2023-01-20","2022-01-21 02:35:00",NULL,"2022-12-21 15:22:00",1,"49.50","49.50",11,"99.00","0","137.17","false","false","Rodger","Call","AQ_9"
"GYB220121-5040-92123","AU","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-21","2023-01-21","2022-01-21 05:43:00",NULL,NULL,12,"431.85","0.00",0,"431.85","0","0","false","false","Nick","Call","AQ_9"
"GYB220121-8904-88103","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-21 14:13:00",NULL,NULL,0,"104.30","44.70",0,"149.00","0","0","false","false","Megan","Chat","AQ_9"
"GYB220121-6407-70121","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-21 17:57:00",NULL,NULL,0,"149.00","0.00",0,"149.00","0","0","false","false","Vicky","Call","AQ_25"
"GYB220121-2436-93132","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-21 23:22:00",NULL,NULL,0,"149.00","0.00",0,"149.00","0","0","false","false","Rodger","Call","AQ_25"
"GYB220122-8904-42117","GF","aq-gyb-support-3-month-plan-lo"," Support 3-month Plan","2022-01-22","2022-05-29","2022-01-22 17:38:00",NULL,"2022-04-22 14:59:00",1,"159.28","39.82",1,"199.10","0","19.86","false","false","Nick","Call","AQ_9"
"GYB220122-8769-24151","US","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-22","2022-02-22","2022-01-22 18:31:00","2022-02-22 12:27:00",NULL,12,"324.00","108.00",0,"432.00","324.00","0","false","true","Megan","Chat","AQ_9"
"GYB220122-2436-24119","US","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-22",NULL,"2022-01-22 20:44:00",NULL,NULL,36,"684.00","0.00",0,"684.00","0","0","false","false","Nick","Call","AQ_9"
"GYB220122-2436-97159","BM","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-22","2023-01-22","2022-01-22 21:18:00",NULL,NULL,12,"432.00","0.00",0,"432.00","0","0","false","false","Megan","Chat","AQ_9"
"GYB220122-2436-64171","US","aq-gyb-support-3-month-plan-lo"," Support 3-month Plan","2022-01-22","2022-04-22","2022-01-22 22:36:00",NULL,NULL,3,"199.00","0.00",0,"199.00","0","0","false","false","n/a","n/a","n/a"
"GYB220122-8769-66181","CR","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-22","2023-01-22","2022-01-22 23:03:00",NULL,NULL,12,"324.00","108.00",0,"432.00","0","0","false","false","Nick","Call","AQ_9"
"GYB220122-8904-75163","US","aq-gyb-support-3-month-plan-lo"," Support 3-month Plan","2022-01-22","2022-09-20","2022-01-23 00:37:00",NULL,"2022-08-22 12:39:00",1,"199.00","0.00",5,"199.00","0","99.75","false","false","Jackie","Call","AQ_9"
"GYB220123-2436-43128","US","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-23",NULL,"2022-01-23 22:16:00",NULL,NULL,36,"684.00","0.00",0,"684.00","0","0","false","false","Biby","Chat","AQ_9"
"GYB220123-2436-86149","US","gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-23","2025-01-23","2022-01-23 23:01:00",NULL,NULL,36,"581.40","102.60",0,"684.00","0","0","false","false","Jackie","Call","BF.Upgrade"
"GYB220123-2255-93147","US","aq-gyb-support-24-month-plan-hi"," Support 24-month Plan","2022-01-23",NULL,"2022-01-23 23:24:00",NULL,NULL,24,"576.00","0.00",0,"576.00","0","0","false","false","Biby","Chat","AQ_9"
"GYB220123-8769-26121","BS","aq-gyb-support-3-month-plan-lo"," Support 3-month Plan","2022-01-23","2022-04-23","2022-01-24 02:25:00",NULL,NULL,3,"199.00","0.00",0,"199.00","0","0","false","false","Megan","Chat","AQ_9"
"GYB220124-2255-50131","AU","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-24","2023-02-27","2022-01-24 04:36:00","2022-03-29 20:40:00",NULL,36,"683.69","0.00",0,"683.69","478.23","0","false","true","Jayce","Call","AQ_7"
"GYB220124-1295-38123","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-24 16:58:00",NULL,NULL,0,"149.00","0.00",0,"149.00","0","0","false","false","Jayce","Call","AQ_9"
"GYB220124-2436-59151","US","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-24","2025-01-24","2022-01-24 19:35:00",NULL,NULL,36,"581.40","102.60",0,"684.00","0","0","false","false","Jacob","Call","AQ_1"
"GYB220124-8769-18129","US","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-24","2023-01-31","2022-01-24 20:19:00",NULL,NULL,1,"432.00","0.00",0,"432.00","0","0","false","false","Jayce","Call","AQ_1"
"GYB220124-5040-40146","US","aq-gyb-support-24-month-plan-hi"," Support 24-month Plan","2022-01-24","2022-02-01","2022-01-24 22:59:00","2022-02-01 12:13:00",NULL,24,"489.60","86.40",0,"576.00","489.60","0","false","true","Jacob","Call","AQ_1"
"GYB220125-6407-71134","US","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-25","2023-02-01","2022-01-25 04:24:00",NULL,NULL,1,"432.00","0.00",0,"432.00","0","0","false","false","Esmee","Call","AQ_9"
"GYB220125-2971-78104","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-25 04:59:00",NULL,NULL,0,"119.20","29.80",0,"149.00","0","0","false","false","Biby","Chat","AQ_9"
"GYB220125-2971-41139","US","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-25","2023-02-20","2022-01-25 16:54:00",NULL,"2023-01-25 11:19:00",1,"432.00","0.00",1,"432.00","0","19.95","false","false","Rodger","Call","AQ_9"
"GYB220125-2255-85132","CA","gyb-support-24-month-plan"," Support 24-month plan","2022-01-25","2024-04-25","2022-01-25 20:04:00",NULL,NULL,24,"323.67","107.89",0,"431.56","0","0","false","false","Rodger","Chat","BF.Upgrade"
"GYB220125-2971-44183","US","aq-gyb-support-multiple-monthly"," Support Multiple Device Monthly Subscription","2022-01-25","2022-02-25","2022-01-25 20:50:00",NULL,NULL,1,"99.00","0.00",0,"99.00","0","0","false","false","Rodger","Call","AQ_25"
"GYB220125-5040-15140","CA","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-25","2025-01-25","2022-01-26 00:44:00",NULL,NULL,36,"683.30","0.00",0,"683.30","0","0","false","false","Jackie","Call","AQ_9"
"GYB220125-5040-15140","CA","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-25","2025-01-25","2022-01-26 00:44:00",NULL,NULL,36,"683.30","0.00",0,"683.30","0","0","false","false","Rodger","From Support","AQ.Upgrade"
"GYB220125-5040-15140","CA","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-25","2025-01-25","2022-01-26 00:44:00",NULL,NULL,36,"683.30","0.00",0,"683.30","0","0","false","false","Rodger","From Support","AQ_9"
"GYB220125-5040-15170","US","aq-gyb-support-single-monthly"," Support Single Device Monthly Subscription","2022-01-25","2022-02-25","2022-01-26 01:06:00",NULL,NULL,1,"99.00","0.00",0,"99.00","0","0","false","false","Nick","Call","AQ_9"
"GYB220125-2255-67157","CA","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-26 01:13:00",NULL,NULL,0,"111.91","37.30",0,"149.21","0","0","false","false","Jackie","Call","AQ_1"
"GYB220125-2971-84221","US","aq-gyb-support-3-month-plan-lo"," Support 3-month Plan","2022-01-25","2022-04-26","2022-01-26 01:50:00",NULL,NULL,1,"199.00","0.00",0,"199.00","0","0","false","false","Jackie","Call","AQ_5"
"GYB220126-2971-96115","US","aq-gyb-support-12-month-plan-hi"," Support 12-month Plan","2022-01-26","2023-01-26","2022-01-26 17:52:00",NULL,NULL,12,"367.20","64.80",0,"432.00","0","0","false","false","Jackie","Call","AQ_9"
"GYB220126-5040-74119","CA","aq-gyb-support-24-month-plan-hi"," Support 24-month Plan","2022-01-26",NULL,"2022-01-26 20:11:00",NULL,NULL,24,"575.91","0.00",0,"575.91","0","0","false","false","Rodger","Call","AQ_1"
"GYB220126-8904-64130","MT","aq-gyb-support-36-month-plan-hi"," Support 36-month Plan","2022-01-26",NULL,"2022-01-26 20:48:00",NULL,NULL,36,"683.71","0.00",0,"683.71","0","0","false","false","Clary","Chat","AQ_9"
"GYB220127-6407-77118","PG","aq-gyb-support-24-month-plan-hi"," Support 24-month Plan","2022-01-27",NULL,"2022-01-27 03:06:00",NULL,NULL,24,"576.00","0.00",0,"576.00","0","0","false","false","Ruby","Chat","AQ_9"
"GYB220127-8769-14129","US","gyb-support-multiple-monthly"," Support Multiple Device Monthly Subscription","2022-01-27","2022-04-03","2022-01-27 05:32:00",NULL,"2022-02-27 14:01:00",1,"89.10","9.90",1,"99.00","0","24.95","false","false","Esmee","Call","BF.Upgrade"
"GYB220127-8904-71128","US","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-27 22:03:00",NULL,NULL,0,"149.00","0.00",0,"149.00","0","0","false","false","Esmee","Call","AQ_1"
"GYB220127-2255-56123","CA","aq-one-time-pc-support"," Support One Time PC Support ",NULL,NULL,"2022-01-27 23:18:00",NULL,NULL,0,"119.41","29.85",0,"149.26","0","0","false","false","Vicky","Call","AQ_1"
"GYB220127-2436-32115","US","aq-gyb-support-multiple-monthly"," Support Multiple Device Monthly Subscription","2022-01-27","2022-02-27","2022-01-27 23:38:00",NULL,NULL,1,"79.20","19.80",0,"99.00","0","0","false","false","Esmee","Call","AQ_25"
