"reference_id","product_name","country","campaign_name","source","sales_agent_name","company_revenue","total_rebill_amount","number_of_rebills","returned_amount","discount_amount","total_amount","order_date_kyiv","order_date_utc","order_date_ny","return_date_kyiv","return_date_utc","return_date_ny","days_to_return"
"GYB220115-4354-14130"," Support One Time PC Support ","CA","AQ_9","Call","Jackie","112.15","0",0,"0","37.38","112.15","2022-01-15 20:32:00","2022-01-15 18:32:00","2022-01-15 13:32:00",NULL,NULL,NULL,NULL
"GYB220115-5542-13134"," Support 36-month Plan","US","n/a","n/a","n/a","684.00","0",0,"0","0.00","684.00","2022-01-15 19:18:00","2022-01-15 17:18:00","2022-01-15 12:18:00",NULL,NULL,NULL,NULL
"GYB220115-6604-51110"," Support One Time PC Support ","CA","AQ_1","Call","Jackie","97.20","0",0,"0","52.34","97.20","2022-01-15 23:46:00","2022-01-15 21:46:00","2022-01-15 16:46:00",NULL,NULL,NULL,NULL
"GYB220116-4354-54118"," Support 24-month Plan","US","BF.Upgrade","Call","Rodger","403.20","0",0,"0","172.80","403.20","2022-01-16 07:00:00","2022-01-16 05:00:00","2022-01-16 00:00:00",NULL,NULL,NULL,NULL
"GYB220116-8954-85139"," Support Single Device Monthly Subscription","US","AQ_9","Chat","Rinna","358.35","259.35",13,"0","0.00","99.00","2022-01-17 02:28:00","2022-01-17 00:28:00","2022-01-16 19:28:00",NULL,NULL,NULL,NULL
"GYB220117-1511-42127"," Support Single Device Monthly Subscription","AU","AQ_7","Call","Esmee","49.70","0",0,"0","49.70","49.70","2022-01-18 02:07:00","2022-01-18 00:07:00","2022-01-17 19:07:00",NULL,NULL,NULL,NULL
"GYB220117-2241-26129"," Support One Time PC Support ","US","AQ_9","Call","Vicky","149.00","0",0,"0","0.00","149.00","2022-01-18 00:06:00","2022-01-17 22:06:00","2022-01-17 17:06:00",NULL,NULL,NULL,NULL
"GYB220117-4354-16192"," Support One Time PC Support ","US","AQ_25","Call","Esmee","149.00","0",0,"0","0.00","149.00","2022-01-17 23:10:00","2022-01-17 21:10:00","2022-01-17 16:10:00",NULL,NULL,NULL,NULL
"GYB220117-4354-30158"," Support One Time PC Support ","US","AQ_9","Chat","Biby","149.00","0",0,"0","0.00","149.00","2022-01-17 18:36:00","2022-01-17 16:36:00","2022-01-17 11:36:00",NULL,NULL,NULL,NULL
"GYB220117-5542-74117"," Support One Time PC Support ","US","n/a","n/a","n/a","104.30","0",0,"0","44.70","104.30","2022-01-18 01:33:00","2022-01-17 23:33:00","2022-01-17 18:33:00",NULL,NULL,NULL,NULL
"GYB220118-2241-69161"," Support 12-month Plan","US","AQ_9","Chat","Olivia","432.00","0",0,"0","0.00","432.00","2022-01-18 21:56:00","2022-01-18 19:56:00","2022-01-18 14:56:00",NULL,NULL,NULL,NULL
"GYB220118-5542-13132"," Support One Time PC Support ","US","AQ_9","Chat","Olivia","96.85","0",0,"0","52.15","96.85","2022-01-18 17:19:00","2022-01-18 15:19:00","2022-01-18 10:19:00",NULL,NULL,NULL,NULL
"GYB220118-5922-10128"," Support 12-month Plan","AU","AQ_9","Chat","Megan","432.46","0",0,"0","0.00","432.46","2022-01-18 04:54:00","2022-01-18 02:54:00","2022-01-17 21:54:00",NULL,NULL,NULL,NULL
"GYB220119-1100-86144"," Support 12-month plan","UA","n/a","n/a","n/a","336.00","0",0,"0","0.00","336.00","2022-01-19 12:36:00","2022-01-19 10:36:00","2022-01-19 05:36:00",NULL,NULL,NULL,NULL
"GYB220119-1511-12112"," Support 12-month Plan","NZ","AQ_9","Chat","Biby","432.12","0",0,"0","0.00","432.12","2022-01-19 03:27:00","2022-01-19 01:27:00","2022-01-18 20:27:00",NULL,NULL,NULL,NULL
"GYB220119-5542-34147"," Support Single Device Monthly Subscription","US","AQ.Upgrade","Call","Jackie","0.00","0",0,"99.00","0.00","99.00","2022-01-19 20:44:00","2022-01-19 18:44:00","2022-01-19 13:44:00","2022-01-19 14:01:00","2022-01-19 12:01:00","2022-01-19 07:01:00","0"
"GYB220119-5542-36129"," Support Single Device Monthly Subscription","US","AQ_9","Chat","Clary","198.75","99.75",5,"0","0.00","99.00","2022-01-19 12:55:00","2022-01-19 10:55:00","2022-01-19 05:55:00",NULL,NULL,NULL,NULL
"GYB220120-2241-43133"," Support Multiple Device Monthly Subscription","US","AQ_9","Call","Rodger","186.67","137.17",11,"0","49.50","49.50","2022-01-21 02:35:00","2022-01-21 00:35:00","2022-01-20 19:35:00",NULL,NULL,NULL,NULL
"GYB220120-5593-26130"," Support 24-month Plan","US","AQ_9","Call","Jacob","460.80","0",0,"0","115.20","460.80","2022-01-20 04:00:00","2022-01-20 02:00:00","2022-01-19 21:00:00",NULL,NULL,NULL,NULL
"GYB220120-5593-50153"," Support Multiple Device Monthly Subscription","US","AQ_9","Chat","Clary","99.00","0",0,"0","0.00","99.00","2022-01-20 21:33:00","2022-01-20 19:33:00","2022-01-20 14:33:00",NULL,NULL,NULL,NULL
"GYB220120-6604-72109"," Support 12-month Plan","CA","AQ_1","Call","Esmee","431.70","0",0,"0","0.00","431.70","2022-01-21 01:25:00","2022-01-20 23:25:00","2022-01-20 18:25:00",NULL,NULL,NULL,NULL
"GYB220121-2436-93132"," Support One Time PC Support ","US","AQ_25","Call","Rodger","149.00","0",0,"0","0.00","149.00","2022-01-21 23:22:00","2022-01-21 21:22:00","2022-01-21 16:22:00",NULL,NULL,NULL,NULL
"GYB220121-5040-92123"," Support 12-month Plan","AU","AQ_9","Call","Nick","431.85","0",0,"0","0.00","431.85","2022-01-21 05:43:00","2022-01-21 03:43:00","2022-01-20 22:43:00",NULL,NULL,NULL,NULL
"GYB220121-6407-70121"," Support One Time PC Support ","US","AQ_25","Call","Vicky","149.00","0",0,"0","0.00","149.00","2022-01-21 17:57:00","2022-01-21 15:57:00","2022-01-21 10:57:00",NULL,NULL,NULL,NULL
"GYB220121-8904-88103"," Support One Time PC Support ","US","AQ_9","Chat","Megan","104.30","0",0,"0","44.70","104.30","2022-01-21 14:13:00","2022-01-21 12:13:00","2022-01-21 07:13:00",NULL,NULL,NULL,NULL
"GYB220122-2436-24119"," Support 36-month Plan","US","AQ_9","Call","Nick","684.00","0",0,"0","0.00","684.00","2022-01-22 20:44:00","2022-01-22 18:44:00","2022-01-22 13:44:00",NULL,NULL,NULL,NULL
"GYB220122-2436-64171"," Support 3-month Plan","US","n/a","n/a","n/a","199.00","0",0,"0","0.00","199.00","2022-01-22 22:36:00","2022-01-22 20:36:00","2022-01-22 15:36:00",NULL,NULL,NULL,NULL
"GYB220122-2436-97159"," Support 12-month Plan","BM","AQ_9","Chat","Megan","432.00","0",0,"0","0.00","432.00","2022-01-22 21:18:00","2022-01-22 19:18:00","2022-01-22 14:18:00",NULL,NULL,NULL,NULL
"GYB220122-8769-24151"," Support 12-month Plan","US","AQ_9","Chat","Megan","0.00","0",0,"324.00","108.00","324.00","2022-01-22 18:31:00","2022-01-22 16:31:00","2022-01-22 11:31:00","2022-02-22 12:27:00","2022-02-22 10:27:00","2022-02-22 05:27:00","30"
"GYB220122-8769-66181"," Support 12-month Plan","CR","AQ_9","Call","Nick","324.00","0",0,"0","108.00","324.00","2022-01-22 23:03:00","2022-01-22 21:03:00","2022-01-22 16:03:00",NULL,NULL,NULL,NULL
"GYB220122-8904-42117"," Support 3-month Plan","GF","AQ_9","Call","Nick","179.14","19.86",1,"0","39.82","159.28","2022-01-22 17:38:00","2022-01-22 15:38:00","2022-01-22 10:38:00",NULL,NULL,NULL,NULL
"GYB220122-8904-75163"," Support 3-month Plan","US","AQ_9","Call","Jackie","298.75","99.75",5,"0","0.00","199.00","2022-01-23 00:37:00","2022-01-22 22:37:00","2022-01-22 17:37:00",NULL,NULL,NULL,NULL
"GYB220123-2255-93147"," Support 24-month Plan","US","AQ_9","Chat","Biby","576.00","0",0,"0","0.00","576.00","2022-01-23 23:24:00","2022-01-23 21:24:00","2022-01-23 16:24:00",NULL,NULL,NULL,NULL
"GYB220123-2436-43128"," Support 36-month Plan","US","AQ_9","Chat","Biby","684.00","0",0,"0","0.00","684.00","2022-01-23 22:16:00","2022-01-23 20:16:00","2022-01-23 15:16:00",NULL,NULL,NULL,NULL
"GYB220123-2436-86149"," Support 36-month Plan","US","BF.Upgrade","Call","Jackie","581.40","0",0,"0","102.60","581.40","2022-01-23 23:01:00","2022-01-23 21:01:00","2022-01-23 16:01:00",NULL,NULL,NULL,NULL
"GYB220123-8769-26121"," Support 3-month Plan","BS","AQ_9","Chat","Megan","199.00","0",0,"0","0.00","199.00","2022-01-24 02:25:00","2022-01-24 00:25:00","2022-01-23 19:25:00",NULL,NULL,NULL,NULL
"GYB220124-1295-38123"," Support One Time PC Support ","US","AQ_9","Call","Jayce","149.00","0",0,"0","0.00","149.00","2022-01-24 16:58:00","2022-01-24 14:58:00","2022-01-24 09:58:00",NULL,NULL,NULL,NULL
"GYB220124-2255-50131"," Support 36-month Plan","AU","AQ_7","Call","Jayce","205.46","0",0,"478.23","0.00","683.69","2022-01-24 04:36:00","2022-01-24 02:36:00","2022-01-23 21:36:00","2022-03-29 20:40:00","2022-03-29 17:40:00","2022-03-29 13:40:00","64"
"GYB220124-2436-59151"," Support 36-month Plan","US","AQ_1","Call","Jacob","581.40","0",0,"0","102.60","581.40","2022-01-24 19:35:00","2022-01-24 17:35:00","2022-01-24 12:35:00",NULL,NULL,NULL,NULL
"GYB220124-5040-40146"," Support 24-month Plan","US","AQ_1","Call","Jacob","0.00","0",0,"489.60","86.40","489.60","2022-01-24 22:59:00","2022-01-24 20:59:00","2022-01-24 15:59:00","2022-02-01 12:13:00","2022-02-01 10:13:00","2022-02-01 05:13:00","7"
"GYB220124-8769-18129"," Support 12-month Plan","US","AQ_1","Call","Jayce","432.00","0",0,"0","0.00","432.00","2022-01-24 20:19:00","2022-01-24 18:19:00","2022-01-24 13:19:00",NULL,NULL,NULL,NULL
"GYB220125-2255-67157"," Support One Time PC Support ","CA","AQ_1","Call","Jackie","111.91","0",0,"0","37.30","111.91","2022-01-26 01:13:00","2022-01-25 23:13:00","2022-01-25 18:13:00",NULL,NULL,NULL,NULL
"GYB220125-2255-85132"," Support 24-month plan","CA","BF.Upgrade","Chat","Rodger","323.67","0",0,"0","107.89","323.67","2022-01-25 20:04:00","2022-01-25 18:04:00","2022-01-25 13:04:00",NULL,NULL,NULL,NULL
"GYB220125-2971-41139"," Support 12-month Plan","US","AQ_9","Call","Rodger","451.95","19.95",1,"0","0.00","432.00","2022-01-25 16:54:00","2022-01-25 14:54:00","2022-01-25 09:54:00",NULL,NULL,NULL,NULL
"GYB220125-2971-44183"," Support Multiple Device Monthly Subscription","US","AQ_25","Call","Rodger","99.00","0",0,"0","0.00","99.00","2022-01-25 20:50:00","2022-01-25 18:50:00","2022-01-25 13:50:00",NULL,NULL,NULL,NULL
"GYB220125-2971-78104"," Support One Time PC Support ","US","AQ_9","Chat","Biby","119.20","0",0,"0","29.80","119.20","2022-01-25 04:59:00","2022-01-25 02:59:00","2022-01-24 21:59:00",NULL,NULL,NULL,NULL
"GYB220125-2971-84221"," Support 3-month Plan","US","AQ_5","Call","Jackie","199.00","0",0,"0","0.00","199.00","2022-01-26 01:50:00","2022-01-25 23:50:00","2022-01-25 18:50:00",NULL,NULL,NULL,NULL
"GYB220125-5040-15140"," Support 36-month Plan","CA","AQ_9","From Support","Rodger","683.30","0",0,"0","0.00","683.30","2022-01-26 00:44:00","2022-01-25 22:44:00","2022-01-25 17:44:00",NULL,NULL,NULL,NULL
"GYB220125-5040-15170"," Support Single Device Monthly Subscription","US","AQ_9","Call","Nick","99.00","0",0,"0","0.00","99.00","2022-01-26 01:06:00","2022-01-25 23:06:00","2022-01-25 18:06:00",NULL,NULL,NULL,NULL
"GYB220125-6407-71134"," Support 12-month Plan","US","AQ_9","Call","Esmee","432.00","0",0,"0","0.00","432.00","2022-01-25 04:24:00","2022-01-25 02:24:00","2022-01-24 21:24:00",NULL,NULL,NULL,NULL
"GYB220126-2971-96115"," Support 12-month Plan","US","AQ_9","Call","Jackie","367.20","0",0,"0","64.80","367.20","2022-01-26 17:52:00","2022-01-26 15:52:00","2022-01-26 10:52:00",NULL,NULL,NULL,NULL
"GYB220126-5040-74119"," Support 24-month Plan","CA","AQ_1","Call","Rodger","575.91","0",0,"0","0.00","575.91","2022-01-26 20:11:00","2022-01-26 18:11:00","2022-01-26 13:11:00",NULL,NULL,NULL,NULL
"GYB220126-8904-64130"," Support 36-month Plan","MT","AQ_9","Chat","Clary","683.71","0",0,"0","0.00","683.71","2022-01-26 20:48:00","2022-01-26 18:48:00","2022-01-26 13:48:00",NULL,NULL,NULL,NULL
"GYB220127-2255-56123"," Support One Time PC Support ","CA","AQ_1","Call","Vicky","119.41","0",0,"0","29.85","119.41","2022-01-27 23:18:00","2022-01-27 21:18:00","2022-01-27 16:18:00",NULL,NULL,NULL,NULL
"GYB220127-2436-32115"," Support Multiple Device Monthly Subscription","US","AQ_25","Call","Esmee","79.20","0",0,"0","19.80","79.20","2022-01-27 23:38:00","2022-01-27 21:38:00","2022-01-27 16:38:00",NULL,NULL,NULL,NULL
"GYB220127-2971-96120"," Support 24-month Plan","US","AQ_5","Call","Rodger","576.00","0",0,"0","0.00","576.00","2022-01-27 23:55:00","2022-01-27 21:55:00","2022-01-27 16:55:00",NULL,NULL,NULL,NULL
"GYB220127-6407-35172"," Support One Time PC Support ","US","AQ_9","Call","Jayce","149.00","0",0,"0","0.00","149.00","2022-01-28 02:09:00","2022-01-28 00:09:00","2022-01-27 19:09:00",NULL,NULL,NULL,NULL
"GYB220127-6407-77118"," Support 24-month Plan","PG","AQ_9","Chat","Ruby","576.00","0",0,"0","0.00","576.00","2022-01-27 03:06:00","2022-01-27 01:06:00","2022-01-26 20:06:00",NULL,NULL,NULL,NULL
"GYB220127-8769-14129"," Support Multiple Device Monthly Subscription","US","BF.Upgrade","Call","Esmee","114.05","24.95",1,"0","9.90","89.10","2022-01-27 05:32:00","2022-01-27 03:32:00","2022-01-26 22:32:00",NULL,NULL,NULL,NULL
"GYB220127-8904-71128"," Support One Time PC Support ","US","AQ_1","Call","Esmee","149.00","0",0,"0","0.00","149.00","2022-01-27 22:03:00","2022-01-27 20:03:00","2022-01-27 15:03:00",NULL,NULL,NULL,NULL
"GYB220128-1532-84116"," Support Single Device Monthly Subscription","CA","AQ_1","Call","Esmee","161.09","61.61",3,"0","0.00","99.48","2022-01-28 23:02:00","2022-01-28 21:02:00","2022-01-28 16:02:00",NULL,NULL,NULL,NULL
"GYB220128-4242-75153"," Support Single Device Monthly Subscription","US","AQ_9","Call","Esmee","79.20","0",0,"0","19.80","79.20","2022-01-28 19:38:00","2022-01-28 17:38:00","2022-01-28 12:38:00",NULL,NULL,NULL,NULL
"GYB220128-4242-81115"," Support 12-month Plan","CA","AQ_1","Call","Jackie","29.71","0",0,"358.83","43.17","388.54","2022-01-28 04:29:00","2022-01-28 02:29:00","2022-01-27 21:29:00","2022-03-10 04:41:00","2022-03-10 02:41:00","2022-03-09 21:41:00","41"
